DocuNo,docudate,shipmentday,custcode,custname,contact,shipdate,creditdays,transpcode,EmpCode,EmpName,goodcode,goodname,invecode,locacode,goodunit,goodqty,goodprice,gooddiscamnt,goodamnt,jobcodehd,jobnamehd,unitrate,VAttype,goodcompare,goodcompareqty,VatRate,SumGoodAmnt,BillDiscFormula,BillAftrDiscAmnt,TotaBaseAmnt,VATAmnt,NetAmnt,vatcode,taxtype,GoodType,saleareacode,saleareaname,departmentcode,departmentname,jobcodedt,jobnamedt,exchdate,CurrCode,CurrName,CurrTypeCode,CurrTypeName,ExchRate,remark1,remark2,remark3
WSOBK6505-01764,01/06/2565,0,QRB2500005,"RBSQ MARKETING CO.,LTD",K.Bunpot,01/06/2565,,,S3-04,Rungtiwa Hemarak,S0805XXXXSCC001,ฮุค-W50-โครเมี่ยม-(เกี่ยวตะแกรง),ML,ML,Pcs,9.0000,0,0,0,QU6505-00044,"QRB2500005/RBSQ Marketing Co.,Ltd./7-11 Cambodia Stock Size L,M,S",1,1,,0,0,0,0,0,0,0,0,NO,3,1,SAI-HO,SAI-HO,SAI-HO,แผนกขายต่างประเทศ - ส่วนงานสำนักงานใหญ่,QU6505-00044,"QRB2500005/RBSQ Marketing Co.,Ltd./7-11 Cambodia Stock Size L,M,S",,,,,,1,,,
WSOBK6505-01764,01/06/2565,0,QRB2500005,"RBSQ MARKETING CO.,LTD",K.Bunpot,01/06/2565,,,S3-04,Rungtiwa Hemarak,S1010535XARI001,อะครีลิค-ครีบข้าง-W1052-D3-H50-ใส,ML,ML,Pcs,4.0000,0,0,0,QU6505-00044,"QRB2500005/RBSQ Marketing Co.,Ltd./7-11 Cambodia Stock Size L,M,S",1,1,,0,0,0,0,0,0,0,0,NO,3,1,SAI-HO,SAI-HO,SAI-HO,แผนกขายต่างประเทศ - ส่วนงานสำนักงานใหญ่,QU6505-00044,"QRB2500005/RBSQ Marketing Co.,Ltd./7-11 Cambodia Stock Size L,M,S",,,,,,1,,,
WSOBK6505-01764,01/06/2565,0,QRB2500005,"RBSQ MARKETING CO.,LTD",K.Bunpot,01/06/2565,,,S3-04,Rungtiwa Hemarak,S1028315XARI001,อะครีลิค-กล่องเสียบสื่อ-W280-D3-H150-ใส,ML,ML,Pcs,2.0000,0,0,0,QU6505-00044,"QRB2500005/RBSQ Marketing Co.,Ltd./7-11 Cambodia Stock Size L,M,S",1,1,,0,0,0,0,0,0,0,0,NO,3,1,SAI-HO,SAI-HO,SAI-HO,แผนกขายต่างประเทศ - ส่วนงานสำนักงานใหญ่,QU6505-00044,"QRB2500005/RBSQ Marketing Co.,Ltd./7-11 Cambodia Stock Size L,M,S",,,,,,1,,,
WSOBK6505-01764,01/06/2565,0,QRB2500005,"RBSQ MARKETING CO.,LTD",K.Bunpot,01/06/2565,,,S3-04,Rungtiwa Hemarak,S10305212XXI001,แผ่นอะครีลิค-W305-H117-D2 หนา2 มิล,ML,ML,Pcs,2.0000,0,0,0,QU6505-00044,"QRB2500005/RBSQ Marketing Co.,Ltd./7-11 Cambodia Stock Size L,M,S",1,1,,0,0,0,0,0,0,0,0,NO,3,1,SAI-HO,SAI-HO,SAI-HO,แผนกขายต่างประเทศ - ส่วนงานสำนักงานใหญ่,QU6505-00044,"QRB2500005/RBSQ Marketing Co.,Ltd./7-11 Cambodia Stock Size L,M,S",,,,,,1,,,
WSOBK6505-01764,01/06/2565,0,QRB2500005,"RBSQ MARKETING CO.,LTD",K.Bunpot,01/06/2565,,,S3-04,Rungtiwa Hemarak,S1540G4XPCXI001,ป้ายราคาแขวนฮุค-W40-GEN4 (บากกลาง),ML,ML,Pcs,9.0000,0,0,0,QU6505-00044,"QRB2500005/RBSQ Marketing Co.,Ltd./7-11 Cambodia Stock Size L,M,S",1,1,,0,0,0,0,0,0,0,0,NO,3,1,SAI-HO,SAI-HO,SAI-HO,แผนกขายต่างประเทศ - ส่วนงานสำนักงานใหญ่,QU6505-00044,"QRB2500005/RBSQ Marketing Co.,Ltd./7-11 Cambodia Stock Size L,M,S",,,,,,1,,,
WSOBK6505-01764,01/06/2565,0,QRB2500005,"RBSQ MARKETING CO.,LTD",K.Bunpot,01/06/2565,,,S3-04,Rungtiwa Hemarak,S1550XXPCBTI001,ป้ายราคาตะแกรง-W50,ML,ML,Pcs,6.0000,0,0,0,QU6505-00044,"QRB2500005/RBSQ Marketing Co.,Ltd./7-11 Cambodia Stock Size L,M,S",1,1,,0,0,0,0,0,0,0,0,NO,3,1,SAI-HO,SAI-HO,SAI-HO,แผนกขายต่างประเทศ - ส่วนงานสำนักงานใหญ่,QU6505-00044,"QRB2500005/RBSQ Marketing Co.,Ltd./7-11 Cambodia Stock Size L,M,S",,,,,,1,,,
WSOBK6505-01764,01/06/2565,0,QRB2500005,"RBSQ MARKETING CO.,LTD",K.Bunpot,01/06/2565,,,S3-04,Rungtiwa Hemarak,S1590XXXG4PCSW1,ป้ายราคาแผ่นชั้น-W900-Gen4,ML,ML,Pcs,3.0000,0,0,0,QU6505-00044,"QRB2500005/RBSQ Marketing Co.,Ltd./7-11 Cambodia Stock Size L,M,S",1,1,,0,0,0,0,0,0,0,0,NO,3,1,SAI-HO,SAI-HO,SAI-HO,แผนกขายต่างประเทศ - ส่วนงานสำนักงานใหญ่,QU6505-00044,"QRB2500005/RBSQ Marketing Co.,Ltd./7-11 Cambodia Stock Size L,M,S",,,,,,1,,,
WSOBK6505-01764,01/06/2565,0,QRB2500005,"RBSQ MARKETING CO.,LTD",K.Bunpot,01/06/2565,,,S3-04,Rungtiwa Hemarak,S17XX50XXBTQ001,แขนรับแผ่นชั้น-D500-สีครีม(ha02-90),ML,ML,Pcs,174.0000,0,0,0,QU6505-00044,"QRB2500005/RBSQ Marketing Co.,Ltd./7-11 Cambodia Stock Size L,M,S",1,1,,0,0,0,0,0,0,0,0,NO,3,1,SAI-HO,SAI-HO,SAI-HO,แผนกขายต่างประเทศ - ส่วนงานสำนักงานใหญ่,QU6505-00044,"QRB2500005/RBSQ Marketing Co.,Ltd./7-11 Cambodia Stock Size L,M,S",,,,,,1,,,
WSOBK6505-01764,01/06/2565,0,QRB2500005,"RBSQ MARKETING CO.,LTD",K.Bunpot,01/06/2565,,,S3-04,Rungtiwa Hemarak,S2180XXRTSHQ001,คาน-รับแผ่นชั้น-W800-CL(ha02-90),ML,ML,Pcs,72.0000,0,0,0,QU6505-00044,"QRB2500005/RBSQ Marketing Co.,Ltd./7-11 Cambodia Stock Size L,M,S",1,1,,0,0,0,0,0,0,0,0,NO,3,1,SAI-HO,SAI-HO,SAI-HO,แผนกขายต่างประเทศ - ส่วนงานสำนักงานใหญ่,QU6505-00044,"QRB2500005/RBSQ Marketing Co.,Ltd./7-11 Cambodia Stock Size L,M,S",,,,,,1,,,
WSOBK6505-01764,01/06/2565,0,QRB2500005,"RBSQ MARKETING CO.,LTD",K.Bunpot,01/06/2565,,,S3-04,Rungtiwa Hemarak,S21XXXXRTUPQ001,คาน-ยึดโครง-สีครีม(ha02-90)-(ล่าง),ML,ML,Pcs,6.0000,0,0,0,QU6505-00044,"QRB2500005/RBSQ Marketing Co.,Ltd./7-11 Cambodia Stock Size L,M,S",1,1,,0,0,0,0,0,0,0,0,NO,3,1,SAI-HO,SAI-HO,SAI-HO,แผนกขายต่างประเทศ - ส่วนงานสำนักงานใหญ่,QU6505-00044,"QRB2500005/RBSQ Marketing Co.,Ltd./7-11 Cambodia Stock Size L,M,S",,,,,,1,,,
